Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_ONLY,TRADE_OFF,100,2453.7633,0.1822,3976,0.2952,13920,12225,0,1285,0,410,0,0,0,13920,12225,0,0,6831.51946666648,0.0,6831.51946666648,21106.699999999135,0.0,0.0,32.13802549575217,0.0582,0,0.5658,0,4.2225,0.0391,0,0,3.0915,0.4416,1.131,0.0113,0,33.7234,99.965,-1.0,[99.91359999999999- 99.91359999999999- 99.91359999999999- 99.91445333333333- 99.99040000000001- 99.9936- 99.99040000000001- 99.99101333333334- 99.91359999999999- 99.99040000000001- 99.91359999999999- 99.91359999999999- 99.9936- 99.99040000000001- 99.75202666666667- 99.99040000000001- 99.99040000000001- 99.75207999999999- 99.91359999999999- 99.99362133333334- 99.99040000000001- 99.9936- 99.91359999999999- 99.9908- 99.75416- 99.993696- 99.99053333333335- 99.91359999999999- 99.99361066666667- 99.99040000000001- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_ONLY,TRADE_OFF,200,5189.6021,0.1897,8033,0.2936,28560,24348,0,3211,0,1001,0,0,0,28560,24348,0,0,31535.56880000315,0.0,31535.56880000315,49679.89999998947,0.0,0.0,16.171693786234687,0.0671,0,1.2267,0,9.9385,0.0478,0,0,7.2772,1.0396,2.6613,0.0133,0,33.7175,99.9333,-1.0,[99.91359999999999- 99.99040000000001- 99.75207999999999- 99.91359999999999- 99.91488- 99.75200000000001- 99.75200000000001- 99.91359999999999- 99.75202666666667- 99.91359999999999- 99.75213333333333- 99.99178666666668- 99.91381333333334- 99.75205333333334- 99.75207999999999- 99.91456- 99.91359999999999- 99.75277333333334- 99.99040000000001- 99.75218666666666- 99.99363199999999- 99.99189333333334- 99.91359999999999- 99.75207999999999- 99.91359999999999- 99.99093333333333- 99.99040000000001- 99.99362133333334- 99.75210666666668- 99.91359999999999- 99.99133333333333- 99.75213333333333- 99.99361066666667- 99.99395200000001- 99.75202666666667- 99.75213333333333- 99.91359999999999- 99.99040000000001- 99.99362133333334- 99.75207999999999- 99.99362133333334- 99.75349333333334- 99.99069333333333- 99.75205333333334- 99.99363199999999- 99.91477333333333- 99.91359999999999- 99.75413333333334- 99.99364266666667- 99.994048- 99.91359999999999- 99.993664- 99.91359999999999- 99.75210666666668- 99.91359999999999- 99.99101333333334- 99.99363199999999- 99.91392- 99.99365333333333- 99.75368- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
EDGE_ONLY,TRADE_OFF,300,6883.9993,0.1576,12959.3912,0.2966,46080,39211,0,4877,0,1992,0,0,0,46080,39211,0,0,52515.10133333649,0.0,52515.10133333649,55552.3899999761,0.0,0.0,10.409010441864707,0.059,0,1.5833,0,11.1141,0.0361,0,0,8.1381,1.1626,2.976,0.0099,0,33.7215,99.9546,-1.0,[99.99415466666666- 99.91359999999999- 99.91359999999999- 99.99194666666666- 99.75207999999999- 99.91359999999999- 99.99364266666667- 99.75207999999999- 99.75357333333334- 99.99127999999999- 99.993696- 99.99104- 99.91359999999999- 99.99040000000001- 99.75207999999999- 99.91359999999999- 99.99040000000001- 99.99421866666667- 99.99364266666667- 99.91552- 99.993696- 99.75207999999999- 99.75224000000001- 99.75213333333333- 99.75210666666668- 99.91359999999999- 99.99040000000001- 99.91370666666667- 99.99365333333333- 99.993664- 99.99040000000001- 99.99432533333334- 99.91434666666667- 99.91359999999999- 99.99483733333334- 99.99384533333334- 99.99101333333334- 99.75213333333333- 99.99363199999999- 99.99364266666667- 99.75205333333334- 99.99454933333334- 99.99393066666666- 99.99040000000001- 99.91359999999999- 99.75221333333333- 99.99361066666667- 99.99040000000001- 99.75210666666668- 99.99040000000001- 99.99365333333333- 99.91359999999999- 99.99365333333333- 99.91359999999999- 99.99415466666666- 99.99365333333333- 99.99040000000001- 99.75202666666667- 99.75437333333333- 99.75458666666667- 99.99186666666665- 99.99045333333333- 99.91359999999999- 99.91359999999999- 99.99418666666666- 99.75210666666668- 99.993664- 99.99365333333333- 99.99040000000001- 99.75317333333334- 99.99040000000001- 99.99435733333333- 99.99418666666666- 99.75210666666668- 99.99122666666666- 99.99361066666667- 99.75264- 99.75216- 99.99361066666667- 99.99040000000001- 99.99040000000001- 99.99040000000001- 99.99364266666667- 99.99040000000001- 99.91509333333333- 99.99363199999999- 99.993856- 99.99040000000001- 99.91359999999999- 99.99362133333334- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
